ID,Number,Year Made,Include on site,Item Name,Description,Yarn,Fiber Content,Colorway,Hook Size,Quality Tester,Notes,Care instructions,Pattern Link
PPRB-1-26,1,26,y,Pretties Please Rosette Bag,Drawstring pouch,Sugarwheel Cotton Sparkle,97% Cotton & 3% Metallic Polyester,Pretties Please,3.25 mm,Winston,Goes with everything!,"Machine wash cold, gentle cycle. Lay flat to dry. ",https://www.ravelry.com/patterns/library/rosette-drawstring-bag
TSSB-1-26,1,26,n,Taupe Summer Shoulder Bag,Green fabric lined granny square bag,I Love This Cotton,100% cotton,Taupe,5.00 mm,George,Lined with cotton fabric. 1 skein = 1 bag,Do not wash. Spot clean only. ,https://anabeliahandmade.blogspot.com/2017/07/how-to-make-summer-crochet-shoulder-bag.html
TSSB-2-26,2,26,n,Taupe Summer Shoulder Bag,Printed fabric lined granny square bag,I Love This Cotton,100% cotton,Taupe,5.00 mm,Winston,Lined with cotton fabric. 1 skein = 1 bag,Do not wash. Spot clean only. ,https://anabeliahandmade.blogspot.com/2017/07/how-to-make-summer-crochet-shoulder-bag.html
PMRB-1-26,1,26,y,Paris Mornings Rosette Bag,Drawstring pouch,Sugarwheel Cotton,100% cotton,Paris Mornings,4.5 mm,Josie,Very chic!,"Machine wash cold, gentle cycle. Lay flat to dry. ",https://www.ravelry.com/patterns/library/rosette-drawstring-bag
CSRB-1-26,1,26,y,Cotton Solids Rosette Bag,Drawstring pouch,Sugarwheel Cotton Solids (discontinued),100% cotton,Brown,3.25 mm,Josie,Goes with everything!,"Machine wash cold, gentle cycle. Lay flat to dry. ",https://www.ravelry.com/patterns/library/rosette-drawstring-bag
FMB-1-26,1,26,y,Flamingo Market Bag,Mesh-like market bag,Sugarwheel Cotton Sparkle,97% cotton and 3% metallic polyester,Let It Go Flamingo,4.00 mm,Winston,Makes a great beach bag!,"Machine wash cold, gentle cycle. Lay flat to dry. ",https://www.ravelry.com/patterns/library/rustic-market-bag
DSMB-1-26,1,26,y,Desert Skies Market Bag,Mesh-like market bag with holder,Hipster Cotton,100% cotton,Desert Skies,4.00 mm,George,It's got a pocket in the bottom!!,"Machine wash cold, gentle cycle. Lay flat to dry. ",https://www.ravelry.com/patterns/library/rustic-market-bag
BTDPMB-1-26,1,26,y,Brights Tie Dye Pocket Market Bag,Mesh-like market bag with holder,I Love This Cotton,100% cotton,340 Brights,5.50 mm,Josie,It's got a pocket in the bottom!!,"Machine wash cold, gentle cycle. Lay flat to dry. ",https://www.mooglyblog.com/rainbow-pocket-market-bag/
LTB-1-26,1,26,y,Little Thunderbird Blanket,Small granny square blanket,Lion Brand Mandala,100% acrylic,Thunderbird,5.50 mm,George,Great for pets!,"Machine wash cold, gentle cycle. Lay flat to dry. ","No pattern - I did this one free hand. Used a stitch I liked from another pattern, made a granny square and just kept going."
LPB-1-26,1,26,y,Little Phoenix Blanket,Small granny square blanket,Lion Brand Mandala,100% acrylic,Phoenix,5.50 mm,Winston,Great for pets!,"Machine wash cold, gentle cycle. Lay flat to dry. ","No pattern - I did this one free hand. Used a stitch I liked from another pattern, made a granny square and just kept going."
